Title,Year,Released,Genre,Runtime,Director,Writer,Actors,Rated,IMDB Rating,Metascore,IMDB Votes,Awards,Box Office,Country,Language,Description,Poster URL
The Bone Collector,1999.0,05 Nov 1999,"Crime, Drama, Mystery",118 min,Phillip Noyce,"Jeffery Deaver, Jeremy Iacone","Denzel Washington, Angelina Jolie, Queen Latifah",R,6.7,45.0,"191,593",1 win & 3 nominations total,"$66,518,655",United States,English,"Quadriplegic ex-cop Lincoln Rhyme was looking forward to his assisted suicide when he got the news: some sicko was abducting people in a taxi and leaving them to die in particularly sadistic ways. With time counting down between each abduction and possible death, Rhyme recruits rather-unwilling Amelia Donaghy, haunted by her cop father's suicide and thinking she's next, into working the crime scenes to track down the killer.",https://m.media-amazon.com/images/M/MV5BOWY0NjY0M2ItYmNjYy00YWZiLWE3ZjktM2Q3YmU2NWY0YmVmXkEyXkFqcGc@._V1_SX300.jpg
The 13th Warrior,1999.0,27 Aug 1999,"Action, Adventure, History",102 min,John McTiernan,"Michael Crichton, William Wisher, Warren Lewis","Antonio Banderas, Diane Venora, Dennis Storhøi",R,6.6,42.0,"135,295",2 wins & 2 nominations total,"$32,698,899",United States,"English, Latin, Swedish, Norse, Old, Danish, Arabic","A cultured diplomat joins a band of savage warriors in time to meet an even more fearsome enemy in this historical adventure. In 922 A.D., Ibn Fadlan (Antonio Banderas) is a Muslim emissary from Baghdad en route to meet with the King of Saqaliba when he is captured by a gang of Vikings. While Ibn and his people are intelligent and well-mannered, the Vikings are a rowdy and sometimes unpleasant lot, with an unquenchable appetite for food, alcohol, and women. However, in time he develops an understanding and respect for the Viking warriors and is welcomed into their society by their leader, Buliwyf. However, Ibn must now join them as they return to their homeland once they receive word of an invasion by a huge pack of bloodthirsty invaders who will destroy and eat anything in their path -- including the flesh of the men they have killed.",https://m.media-amazon.com/images/M/MV5BY2IwMTYyNjctYzhjZi00Y2Y3LWE3NjktMGVjMjFhNzk0NWFjXkEyXkFqcGc@._V1_SX300.jpg
Payback,1999.0,05 Feb 1999,"Action, Crime, Drama",100 min,Brian Helgeland,"Donald E. Westlake, Brian Helgeland, Terry Hayes","Mel Gibson, Gregg Henry, Maria Bello",R,7.1,46.0,"148,187",2 wins & 2 nominations,"$81,526,121",United States,English,"Porter is bad, but his neighbours are worse. Street-wise and tough, an ex-marine, he is betrayed by a one-time partner, and shot in the back by his junkie wife. He survives and returns, looking to recover his share from the robbery of an Asian crime gang. The money has passed into the hands of ""the Outfit"", a slick gangster organisation that runs the city. He has to make his way through a world populated by heroin dealers, prostitutes, sado-masochists, gunmen and crooked cops, a place where torture is a way of life. His only friend is a former employer, a prostitute, and her loyalty is in question, given she now works for the Outfit. He makes good early progress, but then falls into the hands of Fairfax, the crime boss.",https://m.media-amazon.com/images/M/MV5BZDVmM2YxNDUtMjE2Yy00M2I0LTk1MmEtYWUxZTI4NjMyMDJiXkEyXkFqcGc@._V1_SX300.jpg
Random Hearts,1999.0,08 Oct 1999,"Drama, Mystery, Romance",133 min,Sydney Pollack,"Warren Adler, Darryl Ponicsan, Kurt Luedtke","Harrison Ford, Kristin Scott Thomas, Charles S. Dutton",R,5.4,38.0,"24,605",,"$31,502,583","Germany, United States",English,"After the death of their loved ones in a tragic plane crash, Police Sergeant Dutch Van Den Broek (Harrison Ford) and U.S. Representative Kay Chandler (Dame Kristin Scott Thomas) find keys in the possessions their loved ones left behind. They realize the two had been having an affair and are determined to discover all of the details.",https://m.media-amazon.com/images/M/MV5BY2Y1MzZmMDgtNzI5NS00ZWNjLTk2NDItNDRlZDkyZjY2ZjZlXkEyXkFqcGc@._V1_SX300.jpg
The Thomas Crown Affair,1999.0,06 Aug 1999,"Crime, Romance, Thriller",113 min,John McTiernan,"Alan Trustman, Leslie Dixon, Kurt Wimmer","Pierce Brosnan, Rene Russo, Denis Leary",R,6.9,72.0,"102,481",3 wins & 2 nominations,"$69,305,181",United States,"English, German, Polish, French","Self-made billionaire Thomas Crown is bored of being able to buy everything he desires. Being irresistible to women, he also does not feel any challenge in that area. But there are a few things even he can't get, therefore Thomas Crown has a seldom hobby: He steals priceless masterpieces of Art. After the theft of a famous painting from Claude Monet, the only person suspecting Thomas Crown is Catherine Banning. Her job is to get the picture back, no matter how she accomplishes her mission. Unfortunately, Catherine gets involved too deeply with Thomas to keep a professional distance to the case. Fortunately, Thomas seems to fall for her, too.",https://m.media-amazon.com/images/M/MV5BOTEyMjkzYmYtMDJkNi00NjFiLTlmNDgtMWIzOTUyZDJkZmMxXkEyXkFqcGc@._V1_SX300.jpg
Big Daddy,1999.0,25 Jun 1999,"Comedy, Drama",93 min,Dennis Dugan,"Steve Franks, Tim Herlihy, Adam Sandler","Adam Sandler, Joey Lauren Adams, Jon Stewart",PG-13,6.4,42.0,"240,385",8 wins & 14 nominations total,"$163,479,795",United States,"English, Italian","Sonny Koufax is 32 years old. He's a law school graduate. He's got a nice apartment in Manhattan. There's just one problem. He does nothing, except sit on his butt and live off an investment that was the result of a meager lawsuit he won a year ago. But after his fed up girlfriend leaves him, he comes up with the ingenious idea to adopt a five year old boy to showcase his newfound maturity. But things don't go as planned, and Sonny finds himself the unlikely foster father that will change his perspective on just looking out for himself.",https://m.media-amazon.com/images/M/MV5BZGQwMzAyMjEtYjNiNi00NWQwLThiNjQtY2Q2ZWQ5ZGIzMDI4XkEyXkFqcGc@._V1_SX300.jpg
Bicentennial Man,1999.0,17 Dec 1999,"Drama, Romance, Sci-Fi",132 min,Chris Columbus,"Isaac Asimov, Robert Silverberg, Nicholas Kazan","Robin Williams, Embeth Davidtz, Sam Neill",PG,6.9,42.0,"127,799",Nominated for 1 Oscar. 2 wins & 8 nominations total,"$58,223,861","United States, Germany",English,"This film follows the 'life' and times of the lead character, an android who is purchased as a household robot programmed to perform menial tasks. Within a few days the Martin family realizes that they don't have an ordinary droid as Andrew begins to experience emotions and creative thought. In a story that spans two centuries, Andrew learns the intricacies of humanity while trying to stop those who created him from destroying him.",https://m.media-amazon.com/images/M/MV5BMzM1MDVlZDItN2ZiZS00MWY2LTk3YzgtOGY4ZDRhNTEyNzA4XkEyXkFqcGc@._V1_SX300.jpg
The Boondock Saints,1999.0,21 Jan 2000,"Action, Crime, Thriller",108 min,Troy Duffy,Troy Duffy,"Willem Dafoe, Sean Patrick Flanery, Norman Reedus",R,7.6,44.0,"255,185",,"$30,471","United States, Canada","English, Spanish, Papiamento, Russian, Latin","Two Irish brothers accidentally kill mafia thugs. They turn themselves in and are released as heroes. They then see it as a calling by God and start knocking off mafia gang members one by one. Willem Dafoe plays the detective trying to figure out the killings, but the closer he comes to catching the Irish brothers, the more he thinks the brothers are doing the right thing.",https://m.media-amazon.com/images/M/MV5BMzIzYjE3YmMtYjdjOC00NTk5LWI0N2MtZDliYjUxNGYyNGZhXkEyXkFqcGc@._V1_SX300.jpg
The Mummy,1999.0,07 May 1999,"Action, Adventure, Fantasy",124 min,Stephen Sommers,"Stephen Sommers, Lloyd Fonvielle, Kevin Jarre","Brendan Fraser, Rachel Weisz, John Hannah",PG-13,7.1,48.0,"479,531",Nominated for 1 Oscar. 5 wins & 24 nominations total,"$157,095,368",United States,"English, Egyptian (Ancient), Arabic, Chinese, Hebrew, Hungarian","An English librarian called Evelyn Carnahan becomes interested in starting an archaeological dig at the ancient city of Hamunaptra. She gains the help of Rick O'Connell, after saving him from his death. What Evelyn, her brother Jonathan and Rick are unaware of is that another group of explorers are interested in the same dig. Unfortunately for everyone, this group ends up unleashing a curse which been laid on the dead High Priest Imhotep. Now 'The Mummy' is awake and it's going to take a lot more than guns to send him back to where he came from.",https://m.media-amazon.com/images/M/MV5BMTY4YWE0OGMtNjU0Yi00YzIwLTk3NTktM2ZiYWQwNjM4MmMxXkEyXkFqcGc@._V1_SX300.jpg
Being John Malkovich,1999.0,03 Dec 1999,"Comedy, Drama, Fantasy",113 min,Spike Jonze,Charlie Kaufman,"John Cusack, Cameron Diaz, Catherine Keener",R,7.7,90.0,"360,244",Nominated for 3 Oscars. 49 wins & 79 nominations total,"$22,863,596",United States,English,"Puppeteer Craig Schwartz and animal lover and pet store clerk Lotte Schwartz are just going through the motions of their marriage. Despite not being able to earn a living solely through puppeteering, Craig loves his profession as it allows him to inhabit the skin of others. He begins to take the ability to inhabit the skin of others to the next level when he is forced to take a job as a file clerk for the off-kilter LesterCorp, located on the five-foot tall 7½ floor of a Manhattan office building. Behind one of the filing cabinets in his work area, Craig finds a hidden door which he learns is a portal into the mind of John Malkovich, the visit through the portal which lasts fifteen minutes after which the person is spit into a ditch next to the New Jersey Turnpike. Craig is fascinated by the meaning of life associated with this finding. Lotte's trips through the portal make her evaluate her own self. And the confident Maxine Lund, one of Craig's co-workers who he tells about the portal if only because he is attracted to her, thinks that it is a money making opportunity in selling trips into Malkovich's mind after office hours for $200 a visit. Craig, Lotte and Maxine begin to understand that anyone entering the portal has the ability to control Malkovich's mind, which also alters his entire being. This experience makes Maxine fall in love with a composite. This ability to control Malkovich's mind begs the question of the ultimate psychedelic trip for Malkovich himself, who begins to feel that something is not right in the world as he knows it.",https://m.media-amazon.com/images/M/MV5BNDExODk1MTktNzRiYS00MWEyLTgyOWItYTI1OWY4NzI1NDM2XkEyXkFqcGc@._V1_SX300.jpg
House on Haunted Hill,1999.0,29 Oct 1999,"Horror, Mystery, Thriller",93 min,William Malone,"Robb White, Dick Beebe","Geoffrey Rush, Famke Janssen, Taye Diggs",R,5.6,28.0,"61,464",1 win & 4 nominations total,"$40,846,082",United States,English,"When an eccentric millionaire offer a group of opposites $1,000,000 to spend the night in a so called ""Haunted House"" with a murderous past, they figure it is a quick way to get quick money and leave. All of them are sure it is some made up story just to mess with their heads a little and test their courage. But, once they stay in the house they start to think about the mistake they made in coming there when mysterious things start to happen.",https://m.media-amazon.com/images/M/MV5BMGY4MDg1MzQtNGI4MC00YzY3LWE5NjctMjQyY2E2NzBkZGUzXkEyXkFqcGc@._V1_SX300.jpg
Varsity Blues,1999.0,15 Jan 1999,"Comedy, Drama, Romance",106 min,Brian Robbins,W. Peter Iliff,"James Van Der Beek, Jon Voight, Paul Walker",R,6.5,50.0,"50,220",2 wins & 5 nominations total,"$52,894,169",United States,English,"In small-town Texas, high school football is a religion. The head coach is deified, as long as the team is winning and 17-year-old schoolboys carry the hopes of an entire community onto the gridiron every Friday night. In his 30th year as head coach, Bud Kilmer (Jon Voight) is trying to lead his West Canaan Coyotes to their 23rd division title. When star quarterback Lance Harbor (Paul Walker) suffers an injury, the Coyotes are forced to regroup under the questionable leadership of John Moxon (James Van Der Beek), a second-string quarterback with a slightly irreverent approach to the game. ""Varsity Blues"" explores our obsession with sports and how teenage athletes respond to the extraordinary pressures places on them.",https://m.media-amazon.com/images/M/MV5BYjIxMTU3M2MtMjg4MC00YWFkLTljMTItYjcxOTJlNDcxMjlmXkEyXkFqcGc@._V1_SX300.jpg
Boys Don't Cry,1999.0,31 Mar 2000,"Biography, Crime, Drama",118 min,Kimberly Peirce,"Kimberly Peirce, Andy Bienen","Hilary Swank, Chloë Sevigny, Peter Sarsgaard",R,7.5,86.0,"104,812",Won 1 Oscar. 50 wins & 39 nominations total,"$11,540,607",United States,English,"Based on actual events. Brandon Teena is the popular new guy in a tiny Nebraska town. He hangs out with the guys, drinking, cussing, and bumper surfing, and he charms the young women, who've never met a more sensitive and considerate young man. Life is good for Brandon, now that he's one of the guys and dating hometown beauty Lana; however, he's forgotten to mention one important detail. It's not that he's wanted in another town for GTA and other assorted crimes, but that Brandon Teena was actually born a woman named Teena Brandon. When his best friends make this discovery, Brandon's life is ripped apart.",https://m.media-amazon.com/images/M/MV5BYTMwYWZkOWQtMDY4My00MzE5LThkODAtN2Q2Y2FmNzY3ZmE2XkEyXkFqcGc@._V1_SX300.jpg
Austin Powers: The Spy Who Shagged Me,1999.0,11 Jun 1999,"Action, Adventure, Comedy",95 min,Jay Roach,"Mike Myers, Michael McCullers","Mike Myers, Heather Graham, Michael York",PG-13,6.7,59.0,"253,709",Nominated for 1 Oscar. 18 wins & 31 nominations total,"$206,040,086",United States,"English, German","Dr. Evil uses a device he calls a ""Time Machine"" to travel back to 1969 and remove Austin Powers' mojo. The sexually wounded swinger must travel back in time and, with the help of agent Felicity Shagwell, recover his vitality. Meanwhile, Dr. Evil's personal life runs amok as he discovers love, continues to shun his son and develops a close relationship with himself. Well, actually, a clone 1/8 his size whom he dubs ""Mini-Me"". The always time-baffled Dr. Evil begins his plan to put a gigantic cannon on the moon, thus turning it into a device called either ""The Death Star"" or ""Alan Parson's Project,"" depending on which name is available.",https://m.media-amazon.com/images/M/MV5BY2I3ZTBjOGQtYjQ3My00M2RlLTk3MjgtOTVmMWExNmU3ZjBkXkEyXkFqcGc@._V1_SX300.jpg
Jawbreaker,1999.0,19 Feb 1999,"Comedy, Crime, Thriller",86 min,Darren Stein,Darren Stein,"Rose McGowan, Rebecca Gayheart, Julie Benz",R,5.7,24.0,"29,921",1 nomination total,"$3,117,085",United States,English,"In a no-holds-barred birthday prank, three of Reagan High School's most popular girls - Julie, Marcie, and Courtney - pretend to kidnap the most popular, Liz Purr. Courtney shoves a jawbreaker into the victim's mouth ostensibly to keep her from screaming. Their plan goes awry when the girl accidentally swallows the jawbreaker, choking to death. The cool and calculating Courtney tries to cover the crime but is found out by school geek Fern Mayo. In return for her silence, Courtney transforms the gawky Fern into the stylishly beautiful Vylette, leaving the conscience-stricken Julie out in the cold, threatening to set her up for the girl's murder if she breaks her silence.",https://m.media-amazon.com/images/M/MV5BMTg2NTU3YTItOTgyOS00ZjA3LTk0MDAtMTVlMjZmNjkxMTUyXkEyXkFqcGc@._V1_SX300.jpg
But I'm a Cheerleader,1999.0,11 Aug 2000,"Comedy, Drama, Romance",85 min,Jamie Babbit,"Brian Peterson, Jamie Babbit","Natasha Lyonne, Clea DuVall, Michelle Williams",R,6.8,39.0,"44,834",2 wins & 2 nominations total,"$2,205,627",United States,English,"Megan is an all-American girl. She's a cheerleader and has a boyfriend, but she doesn't like kissing him very much, and she's pretty tactile with her cheerleader friends, and she only has pictures of girls up in her locker. Her parents and friends conclude that she *must* be gay and send her off to ""sexual redirection"" school, full of admittedly homosexual misfits, where she can learn how to be straight. Will Megan be turned around to successful heterosexuality, or will she succumb to her love for the beautiful Graham?",https://m.media-amazon.com/images/M/MV5BMjY2ZDdlNzctMzU4MS00YWNlLWIzYTUtNjMwZjYyMjk0M2UzXkEyXkFqcGc@._V1_SX300.jpg
Double Jeopardy,1999.0,24 Sep 1999,"Crime, Drama, Mystery",105 min,Bruce Beresford,"David Weisberg, Douglas Cook","Ashley Judd, Tommy Lee Jones, Bruce Greenwood",R,6.5,41.0,"98,992",1 win & 3 nominations total,"$116,741,558","United States, Germany, Canada",English,When Nick Parsons appears to be murdered his wife Libby is tried and convicted. Six years later Libby is paroled and is pursued by Travis Lehman (her parole officer) as she sets out to find her son and settle the score with Nick.,https://m.media-amazon.com/images/M/MV5BZGFhMzVkYmQtYzI4OS00ZTYxLThjYTItYzZjYzY2OTlkMGQ4XkEyXkFqcGc@._V1_SX300.jpg
Never Been Kissed,1999.0,09 Apr 1999,"Comedy, Drama, Romance",107 min,Raja Gosnell,"Abby Kohn, Marc Silverstein","Drew Barrymore, David Arquette, Michael Vartan",PG-13,6.0,60.0,"99,122",2 wins & 8 nominations,"$55,474,756",United States,English,"Chicago Sun Times copy editor Josie Gellar (25), who was desperate to graduate from perfectionist copy editor to reporter, gets her chance when the goody owner orders the editor to cover the high-school scene by undercover. Josie, who was a frustrated, ridiculed nerd, gets a popular make-over from her drop-out, naturally funny brother Rob Geller. Both siblings find love and joys of youth again. But in Josie's case, it's sensitive bachelor teacher Sam Coulson, who enjoys sophisticated conversation. As the publication deadline approaches, the price of blowing their cover seems ever more daunting, yet inevitable unless she sacrifices her career.",https://m.media-amazon.com/images/M/MV5BOGFjODFkYzctMjRhNy00NzMwLWFlM2UtZjAzMGUxYzM1ZWNkXkEyXkFqcGc@._V1_SX300.jpg
Election,1999.0,07 May 1999,"Comedy, Romance",103 min,Alexander Payne,"Tom Perrotta, Alexander Payne, Jim Taylor","Matthew Broderick, Reese Witherspoon, Loren Nelson",R,7.2,83.0,"107,740",Nominated for 1 Oscar. 16 wins & 34 nominations total,"$14,902,041",United States,"English, Spanish","The high school Class President election is approaching and it looks like Tracy Flick is going to win, unopposed. However, teacher Jim McAllister has other plans. He convinces jock Paul Metzler to run, sparking off an interesting chain of events.",https://m.media-amazon.com/images/M/MV5BMTVmMWJiMTgtNmNmMS00NmI2LTgxZTAtNjdhODE2NTBlYTAyXkEyXkFqcGc@._V1_SX300.jpg
Wild Wild West,1999.0,30 Jun 1999,"Action, Comedy, Sci-Fi",106 min,Barry Sonnenfeld,"Jim Thomas, John Thomas, S.S. Wilson","Will Smith, Kevin Kline, Kenneth Branagh",PG-13,4.9,40.0,"169,697",16 wins & 17 nominations total,"$113,804,681",United States,English,"Jim West is a guns-a-blazing former Civil War hero. Artemus Gordon is an inventive U.S. Marshal who excels in disguise. When the United States is threatened by psychotic Confederate Arliss Loveless, President Ulysses S Grant teams the duo up to bring him to justice. On a hazard-packed train journey from Washington, D.C. to Utah, West and Gordon must combine their skills to best Loveless and his diabolical machines.",https://m.media-amazon.com/images/M/MV5BOGI1OWJjMWUtOTNiNC00N2RlLWE3OTYtM2FmOGUzNTQxNzk2XkEyXkFqcGc@._V1_SX300.jpg
